ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE
36,NEGATIVE_VALENCE,frighten,Lexicon,-0.06925506484392985
37,NEGATIVE_VALENCE,gain,Lexicon,0.24757666308056914
38,NEGATIVE_VALENCE,guilt,RDoC,0.5420752333156111
39,NEGATIVE_VALENCE,guilty,Lexicon,0.2850993875489245
40,NEGATIVE_VALENCE,head,Lexicon,0.11537125462084019
41,NEGATIVE_VALENCE,helpless,Lexicon,0.18195299597388814
42,NEGATIVE_VALENCE,hopeful,Lexicon,0.12267761693884338
43,NEGATIVE_VALENCE,hopelessness,Lexicon,0.4443848936668271
44,NEGATIVE_VALENCE,hypervigilant,Lexicon,0.2921588214003139
45,NEGATIVE_VALENCE,irritable,Lexicon,0.34849763755952656
46,NEGATIVE_VALENCE,lesion,Lexicon,0.0716797024575846
47,NEGATIVE_VALENCE,living,Lexicon,0.05486798391820813
48,NEGATIVE_VALENCE,major,Lexicon,0.2619299111403923
49,NEGATIVE_VALENCE,meaningless,Lexicon,0.04473495194556665
50,NEGATIVE_VALENCE,nausea,Lexicon,0.3735600655103748
51,NEGATIVE_VALENCE,nervous,Lexicon,0.11634984475673849
52,NEGATIVE_VALENCE,optimistic,Lexicon,0.17079360932419907
53,NEGATIVE_VALENCE,outburst,Lexicon,0.38772572939701866
54,NEGATIVE_VALENCE,palpitation,Lexicon,0.1783534891902564
55,NEGATIVE_VALENCE,panic,Lexicon,0.6005511359095195
56,NEGATIVE_VALENCE,panic_attack,Lexicon,0.45031506489725426
57,NEGATIVE_VALENCE,panic_disorder,Lexicon,0.4164782697943503
58,NEGATIVE_VALENCE,pessimistic,Lexicon,0.26388711322618186
59,NEGATIVE_VALENCE,phobia,Lexicon,0.5239963081381507
60,NEGATIVE_VALENCE,phobic,Lexicon,0.5880022245004036
61,NEGATIVE_VALENCE,posttraumatic,Lexicon,0.4558058042112111
62,NEGATIVE_VALENCE,posttraumatic_stress,Lexicon,
63,NEGATIVE_VALENCE,refuse,Lexicon,-0.0035707258195321057
64,NEGATIVE_VALENCE,relaxed,Lexicon,0.24521597087788438
65,NEGATIVE_VALENCE,respond,Lexicon,0.2798303119554344
66,NEGATIVE_VALENCE,sad,Lexicon,0.538489580628252
67,NEGATIVE_VALENCE,scare,Lexicon,0.11313468704259433
68,NEGATIVE_VALENCE,sensory,Lexicon,0.11080316445298533
69,NEGATIVE_VALENCE,sensory_deficit,Lexicon,
70,NEGATIVE_VALENCE,situation,Lexicon,0.5148435626431642
71,NEGATIVE_VALENCE,startle,Lexicon,0.461711871426461
72,NEGATIVE_VALENCE,stress,Lexicon,0.5575228253321587
73,NEGATIVE_VALENCE,stress_disorder,Lexicon,
74,NEGATIVE_VALENCE,stressor,Lexicon,0.586065370208483
75,NEGATIVE_VALENCE,suicidal,Lexicon,0.33581326130145084
76,NEGATIVE_VALENCE,sweat,Lexicon,0.24078471235094867
77,NEGATIVE_VALENCE,tachycardic,Lexicon,0.13649923847039813
78,NEGATIVE_VALENCE,tearful,Lexicon,0.02956548766095901
79,NEGATIVE_VALENCE,tense,Lexicon,0.28724238081896036
80,NEGATIVE_VALENCE,threaten,Lexicon,0.15702153481060788
81,NEGATIVE_VALENCE,trauma,Lexicon,0.3851131905657714
82,NEGATIVE_VALENCE,tremulous,Lexicon,-0.0004960817395751604
83,NEGATIVE_VALENCE,violence,Lexicon,0.42631874745831166
84,NEGATIVE_VALENCE,violent,Lexicon,0.3747612027270846
85,NEGATIVE_VALENCE,weight_gain,Lexicon,
86,NEGATIVE_VALENCE,worried,Lexicon,0.2393702829865939
87,NEGATIVE_VALENCE,worth,Lexicon,0.06537458961265319
88,NEGATIVE_VALENCE,worthless,Lexicon,0.00793742770014183
89,POSITIVE_VALENCE,abuse,Lexicon,0.11141435103732611
90,POSITIVE_VALENCE,alcohol,Lexicon,0.3136737745357959
91,POSITIVE_VALENCE,alcohol_abuse,Lexicon,0.07423959230559318
92,POSITIVE_VALENCE,alcohol_dependance,Lexicon,
93,POSITIVE_VALENCE,alcohol_withdrawal,Lexicon,
94,POSITIVE_VALENCE,appetite,Lexicon,0.3572782584100205
95,POSITIVE_VALENCE,back,Lexicon,0.1009221691111073
96,POSITIVE_VALENCE,barbiturate,Lexicon,-0.08006517729843177
97,POSITIVE_VALENCE,blackout,Lexicon,0.08421132009034615
98,POSITIVE_VALENCE,bowel,Lexicon,0.08411250834149653
99,POSITIVE_VALENCE,compulsive,Lexicon,0.31481705091394496
100,POSITIVE_VALENCE,count,Lexicon,-0.061384346822450864
101,POSITIVE_VALENCE,couple,Lexicon,0.08797027755547415
102,POSITIVE_VALENCE,craving,Lexicon,0.39614402619524214
103,POSITIVE_VALENCE,cut,Lexicon,-0.0350783217843369
104,POSITIVE_VALENCE,dependance,Lexicon,-0.02575907796209176
105,POSITIVE_VALENCE,disorder_nos,Lexicon,
106,POSITIVE_VALENCE,drink,Lexicon,0.26936717137924315
107,POSITIVE_VALENCE,drug,Lexicon,0.30547881408066946
108,POSITIVE_VALENCE,effect,Lexicon,0.2507914834319024
109,POSITIVE_VALENCE,etoh,Lexicon,0.12400414432916629
110,POSITIVE_VALENCE,financial,Lexicon,0.3251063798831604
111,POSITIVE_VALENCE,gamble,Lexicon,0.492086274217864
112,POSITIVE_VALENCE,heavy,Lexicon,0.21502087448641827
113,POSITIVE_VALENCE,heroin,Lexicon,0.28488752550292795
114,POSITIVE_VALENCE,high,Lexicon,0.28504566200834835
115,POSITIVE_VALENCE,high_school,Lexicon,
116,POSITIVE_VALENCE,hoard,Lexicon,0.04294254111490081
117,POSITIVE_VALENCE,indication,Lexicon,0.16088299447851417
118,POSITIVE_VALENCE,induce,Lexicon,0.2615222374300693
119,POSITIVE_VALENCE,induce_mood,Lexicon,
120,POSITIVE_VALENCE,ingestion,Lexicon,0.30146889543083355
121,POSITIVE_VALENCE,intake,Lexicon,0.3472009226518282
122,POSITIVE_VALENCE,interest,Lexicon,0.1901935276029707
123,POSITIVE_VALENCE,intoxicate,Lexicon,
124,POSITIVE_VALENCE,intoxication,Lexicon,0.1352272785893237
125,POSITIVE_VALENCE,liver,Lexicon,-0.007714562071899689
126,POSITIVE_VALENCE,lose,Lexicon,0.41181246986012376
127,POSITIVE_VALENCE,money,Lexicon,0.5597392952222631
128,POSITIVE_VALENCE,monitoring,Lexicon,0.15622634904060684
129,POSITIVE_VALENCE,motivate,Lexicon,0.37904770175696023
130,POSITIVE_VALENCE,motor,Lexicon,0.19755342835626866
131,POSITIVE_VALENCE,movement,Lexicon,0.1154078556441519
132,POSITIVE_VALENCE,ordering,Lexicon,0.08411859043223824
133,POSITIVE_VALENCE,partial,Lexicon,0.020567108542658974
134,POSITIVE_VALENCE,planning,Lexicon,0.22969376615346448
135,POSITIVE_VALENCE,psychotic_disorder,Lexicon,0.047693992173313715
136,POSITIVE_VALENCE,related,Lexicon,0.34640448123045764
137,POSITIVE_VALENCE,remission,Lexicon,0.0730206508365745
138,POSITIVE_VALENCE,repetitive,Lexicon,0.09922348646357293
139,POSITIVE_VALENCE,report_that,Lexicon,
140,POSITIVE_VALENCE,resource,Lexicon,0.12098216133409267
141,POSITIVE_VALENCE,routine,Lexicon,0.013793955342593422
142,POSITIVE_VALENCE,sexual_abuse,Lexicon,
143,POSITIVE_VALENCE,stereotypy,Lexicon,0.23940045500781304
144,POSITIVE_VALENCE,stop,Lexicon,0.2920301714443627
145,POSITIVE_VALENCE,strategy,Lexicon,0.3135320919814346
146,POSITIVE_VALENCE,therapy,Lexicon,0.03701021644753877
147,POSITIVE_VALENCE,with_alcohol,Lexicon,
148,POSITIVE_VALENCE,withdrawal,Lexicon,0.31288578221367935
149,POSITIVE_VALENCE,withdrawal_symptom,Lexicon,0.20322975153266554
150,COGNITIVE_SYSTEMS,ability,Lexicon,0.571643657441257
151,COGNITIVE_SYSTEMS,answer,Lexicon,0.3269363502391581
152,COGNITIVE_SYSTEMS,aphasic,Lexicon,0.2733918879940592
153,COGNITIVE_SYSTEMS,attention,RDoC,0.6064919609319495
154,COGNITIVE_SYSTEMS,attentive,Lexicon,0.47723653638075814
155,COGNITIVE_SYSTEMS,auditory,RDoC,0.5118044837000416
156,COGNITIVE_SYSTEMS,auditory_hallucination,RDoC,0.149433858665049
157,COGNITIVE_SYSTEMS,behavior,Lexicon,0.27391441084052426
158,COGNITIVE_SYSTEMS,cognitive,RDoC,0.5120888283315351
159,COGNITIVE_SYSTEMS,compliance,Lexicon,0.16830525451499567
160,COGNITIVE_SYSTEMS,content,Lexicon,0.27109222017464263
161,COGNITIVE_SYSTEMS,conversation,Lexicon,0.18077523408756513
162,COGNITIVE_SYSTEMS,conviction,Lexicon,-0.018499456962710825
163,COGNITIVE_SYSTEMS,current_episode,Lexicon,
164,COGNITIVE_SYSTEMS,decrease_need,Lexicon,
165,COGNITIVE_SYSTEMS,delusion,Lexicon,0.1722479628083018
166,COGNITIVE_SYSTEMS,disinhibit,Lexicon,-0.04908303644267087
167,COGNITIVE_SYSTEMS,disorganisation,Lexicon,0.13309383359588822
168,COGNITIVE_SYSTEMS,disorganise,Lexicon,
169,COGNITIVE_SYSTEMS,disorganise_behavior,Lexicon,
170,COGNITIVE_SYSTEMS,distracted,Lexicon,0.33295366402012805
171,COGNITIVE_SYSTEMS,distractible,Lexicon,0.05978729921143444
172,COGNITIVE_SYSTEMS,employ,Lexicon,0.411722442188705
173,COGNITIVE_SYSTEMS,engage,Lexicon,0.4419254326145672
174,COGNITIVE_SYSTEMS,executive,Lexicon,0.5594550579226453
175,COGNITIVE_SYSTEMS,exercise,Lexicon,0.14823483817436556
176,COGNITIVE_SYSTEMS,factor_include,Lexicon,
177,COGNITIVE_SYSTEMS,fast,Lexicon,0.21886299083012994
178,COGNITIVE_SYSTEMS,flight,Lexicon,0.1188554163315727
179,COGNITIVE_SYSTEMS,forget,Lexicon,0.20437235655207964
180,COGNITIVE_SYSTEMS,forgetful,Lexicon,-0.051903301274934144
181,COGNITIVE_SYSTEMS,grandiosity,Lexicon,0.12281827013286095
182,COGNITIVE_SYSTEMS,hallucinate,Lexicon,0.020964308495085127
183,COGNITIVE_SYSTEMS,hallucination,Lexicon,0.2703431854270162
184,COGNITIVE_SYSTEMS,idea,Lexicon,0.3617886583810497
185,COGNITIVE_SYSTEMS,illusion,Lexicon,0.30232320385489053
186,COGNITIVE_SYSTEMS,impairment,Lexicon,0.46030074726775605
187,COGNITIVE_SYSTEMS,impulse,Lexicon,0.24759879363929915
188,COGNITIVE_SYSTEMS,impulsive,RDoC,0.1664298592862975
189,COGNITIVE_SYSTEMS,impulsive_behavior,RDoC,0.17090678876356202
190,COGNITIVE_SYSTEMS,inappropriate,Lexicon,0.2912351377316409
191,COGNITIVE_SYSTEMS,incoherent,Lexicon,0.15765836511573827
192,COGNITIVE_SYSTEMS,information,Lexicon,0.45896868762827614
193,COGNITIVE_SYSTEMS,injurious_behavior,Lexicon,
194,COGNITIVE_SYSTEMS,insertion,Lexicon,0.14878211188213475
195,COGNITIVE_SYSTEMS,intact,Lexicon,0.410602962517844
196,COGNITIVE_SYSTEMS,irritable,Lexicon,-0.005557876664936012
197,COGNITIVE_SYSTEMS,memory,RDoC,0.5092879707529014
198,COGNITIVE_SYSTEMS,mildly,Lexicon,0.12464063801838354
199,COGNITIVE_SYSTEMS,name,Lexicon,0.22868962331751963
200,COGNITIVE_SYSTEMS,ongoing,Lexicon,0.376507508608391
201,COGNITIVE_SYSTEMS,perception,RDoC,0.41911177867773197
202,COGNITIVE_SYSTEMS,planning,Lexicon,0.4667094496478714
203,COGNITIVE_SYSTEMS,possibly,Lexicon,0.3484756683827013
204,COGNITIVE_SYSTEMS,problem,Lexicon,0.35599784498929843
205,COGNITIVE_SYSTEMS,psychotic,Lexicon,0.18679785822329942
206,COGNITIVE_SYSTEMS,psychotic_disorder,Lexicon,0.08235307344656784
207,COGNITIVE_SYSTEMS,psychotic_feature,Lexicon,
208,COGNITIVE_SYSTEMS,question,Lexicon,0.35755354810850015
209,COGNITIVE_SYSTEMS,race,Lexicon,0.1012148319953442
210,COGNITIVE_SYSTEMS,recall,RDoC,0.48620762996558453
211,COGNITIVE_SYSTEMS,regularly,Lexicon,0.09294178225178962
212,COGNITIVE_SYSTEMS,related,Lexicon,0.4557014845785059
213,COGNITIVE_SYSTEMS,schizophrenia,Lexicon,0.28893203028739545
214,COGNITIVE_SYSTEMS,sensation,Lexicon,0.1631929461200825
215,COGNITIVE_SYSTEMS,sexual_abuse,Lexicon,
216,COGNITIVE_SYSTEMS,sweat,Lexicon,-0.16470694345972348
217,COGNITIVE_SYSTEMS,talk,Lexicon,-0.043250793337904714
218,COGNITIVE_SYSTEMS,term,Lexicon,0.32849817809804505
219,COGNITIVE_SYSTEMS,testing,Lexicon,0.3722886439030897
220,COGNITIVE_SYSTEMS,thought,Lexicon,0.3975291739006921
221,COGNITIVE_SYSTEMS,thought_insertion,Lexicon,
222,COGNITIVE_SYSTEMS,type,Lexicon,0.34955097160034554
223,COGNITIVE_SYSTEMS,ultimately,Lexicon,0.21969149822252587
224,COGNITIVE_SYSTEMS,understand,Lexicon,0.25354393285555354
225,COGNITIVE_SYSTEMS,understanding,Lexicon,0.19942924980827414
226,COGNITIVE_SYSTEMS,visual,RDoC,0.5034245929612762
227,COGNITIVE_SYSTEMS,visual_hallucination,Lexicon,0.1301726090838229
228,COGNITIVE_SYSTEMS,voice,Lexicon,0.28727424267696877
229,COGNITIVE_SYSTEMS,vomiting,Lexicon,-0.04744593354740201
230,COGNITIVE_SYSTEMS,with_psychotic,Lexicon,
231,COGNITIVE_SYSTEMS,word,RDoC,0.40247334738979146
232,SOCIAL_PROCESSES,aggressive,Lexicon,0.4272828033884395
233,SOCIAL_PROCESSES,auditory,Lexicon,0.06451118670590528
234,SOCIAL_PROCESSES,auditory_hallucination,Lexicon,0.22168914805298523
235,SOCIAL_PROCESSES,behavior,Lexicon,0.35067107204455805
236,SOCIAL_PROCESSES,belief,Lexicon,0.4342352843542532
237,SOCIAL_PROCESSES,compliance,Lexicon,0.06659571900970807
238,SOCIAL_PROCESSES,concern_that,Lexicon,
239,SOCIAL_PROCESSES,content,Lexicon,0.1884536327607177
240,SOCIAL_PROCESSES,control,Lexicon,0.07401224443160481
241,SOCIAL_PROCESSES,current_episode,Lexicon,
242,SOCIAL_PROCESSES,delusion,RDoC,0.26725988888498553
243,SOCIAL_PROCESSES,delusional,Lexicon,0.26016373515543356
244,SOCIAL_PROCESSES,disorder_nos,Lexicon,
245,SOCIAL_PROCESSES,disorganise,Lexicon,
246,SOCIAL_PROCESSES,elicit,Lexicon,0.3303336184526373
247,SOCIAL_PROCESSES,empathic,Lexicon,0.6777564901071902
248,SOCIAL_PROCESSES,engaged,Lexicon,0.2581211347145581
249,SOCIAL_PROCESSES,expressive,Lexicon,0.5388311421284775
250,SOCIAL_PROCESSES,fast,Lexicon,-0.02727147815470099
251,SOCIAL_PROCESSES,flat,Lexicon,0.07929359444119677
252,SOCIAL_PROCESSES,grandiose,Lexicon,0.24574611239099398
253,SOCIAL_PROCESSES,hallucinate,Lexicon,0.12781975110528943
254,SOCIAL_PROCESSES,hallucination,RDoC,0.16554877622156805
255,SOCIAL_PROCESSES,impulse,Lexicon,0.1951137737047186
256,SOCIAL_PROCESSES,impulse_control,Lexicon,
257,SOCIAL_PROCESSES,inappropriate,Lexicon,0.3367339195971104
258,SOCIAL_PROCESSES,interview,Lexicon,0.09686731922577507
259,SOCIAL_PROCESSES,isolated,Lexicon,0.1403496868411822
260,SOCIAL_PROCESSES,language,Lexicon,0.19424413965204934
261,SOCIAL_PROCESSES,lonely,Lexicon,0.3796943535920748
262,SOCIAL_PROCESSES,misinterpret,Lexicon,0.23964316348709247
263,SOCIAL_PROCESSES,misunderstand,Lexicon,0.07841610780644714
264,SOCIAL_PROCESSES,paranoid,Lexicon,0.3446202580077944
265,SOCIAL_PROCESSES,paranoid_ideation,Lexicon,
266,SOCIAL_PROCESSES,partial,Lexicon,0.0033079535052197295
267,SOCIAL_PROCESSES,prominent,Lexicon,0.14755253333889184
268,SOCIAL_PROCESSES,psychotic,Lexicon,0.11330430805240799
269,SOCIAL_PROCESSES,psychotic_disorder,Lexicon,0.06055462506387821
270,SOCIAL_PROCESSES,psychotic_feature,Lexicon,
271,SOCIAL_PROCESSES,regular,Lexicon,-0.11211981776419644
272,SOCIAL_PROCESSES,related,Lexicon,0.2356664690121436
273,SOCIAL_PROCESSES,theme,Lexicon,0.2518172763012738
274,SOCIAL_PROCESSES,think,Lexicon,0.2582518481862037
275,SOCIAL_PROCESSES,thought_broadcasting,Lexicon,
276,SOCIAL_PROCESSES,threaten,Lexicon,0.20684801187757762
277,SOCIAL_PROCESSES,type,Lexicon,0.08610363421475808
278,SOCIAL_PROCESSES,vague,Lexicon,0.14118427032429037
279,SOCIAL_PROCESSES,visual,Lexicon,0.09420232190825917
280,SOCIAL_PROCESSES,voice,Lexicon,0.3904132723281246
281,SOCIAL_PROCESSES,wall,Lexicon,-0.02898897165096126
282,SOCIAL_PROCESSES,with_psychotic,Lexicon,
283,SOCIAL_PROCESSES,withdrawn,Lexicon,0.08782072694257204
284,SOCIAL_PROCESSES,worthless,Lexicon,0.19266242815258228
285,AROUSAL_REGULATION,abnormality,Lexicon,0.01906829767893614
286,AROUSAL_REGULATION,agitated,Lexicon,0.1796489024708855
287,AROUSAL_REGULATION,agitation,RDoC,0.3706344835751305
288,AROUSAL_REGULATION,alertness,RDoC,0.5388232587910269
289,AROUSAL_REGULATION,alfa,Lexicon,0.0026273885375553974
290,AROUSAL_REGULATION,amount,Lexicon,0.17003010010108333
291,AROUSAL_REGULATION,apnea,Lexicon,0.5241712477764795
292,AROUSAL_REGULATION,appetite,Lexicon,0.3993705174014319
293,AROUSAL_REGULATION,architecture,Lexicon,0.033946779108851466
294,AROUSAL_REGULATION,attention,Lexicon,0.07665953585039154
295,AROUSAL_REGULATION,bipap,Lexicon,0.01837700182426405
296,AROUSAL_REGULATION,blink,Lexicon,0.2906321881172951
297,AROUSAL_REGULATION,cardiovascular,Lexicon,0.23964380901393179
298,AROUSAL_REGULATION,chest_pain,Lexicon,
299,AROUSAL_REGULATION,chill,Lexicon,0.37536486857243356
300,AROUSAL_REGULATION,cigaret,Lexicon,
301,AROUSAL_REGULATION,circadian,RDoC,0.6321843330285309
302,AROUSAL_REGULATION,compare,Lexicon,0.05545561918492525
303,AROUSAL_REGULATION,concentration,Lexicon,0.1830946222195755
304,AROUSAL_REGULATION,continuity,Lexicon,0.2756025589215023
305,AROUSAL_REGULATION,cortisol,Lexicon,0.34350229774448904
306,AROUSAL_REGULATION,cpap,Lexicon,0.29284702796884754
307,AROUSAL_REGULATION,deficit,Lexicon,0.07879770181142598
308,AROUSAL_REGULATION,deprivation,Lexicon,0.23154586408698574
309,AROUSAL_REGULATION,difficulty,Lexicon,0.18055941367330497
310,AROUSAL_REGULATION,dizziness,Lexicon,0.3781453464079657
311,AROUSAL_REGULATION,dream,Lexicon,0.42168620802377854
312,AROUSAL_REGULATION,duration,Lexicon,0.24414723695181673
313,AROUSAL_REGULATION,eeg,Lexicon,0.1813375660371188
314,AROUSAL_REGULATION,emotional,Lexicon,0.10513362155302741
315,AROUSAL_REGULATION,energy,Lexicon,0.27961524306199226
316,AROUSAL_REGULATION,executive_function,Lexicon,0.1261679666811365
317,AROUSAL_REGULATION,express,Lexicon,0.009912180577959728
318,AROUSAL_REGULATION,fatigue,RDoC,0.3974091889146929
319,AROUSAL_REGULATION,faze,Lexicon,-0.12341379424459431
320,AROUSAL_REGULATION,feelings,Lexicon,
321,AROUSAL_REGULATION,ferritin,Lexicon,0.07060168018127
322,AROUSAL_REGULATION,fragmentation,Lexicon,0.43444531696450406
323,AROUSAL_REGULATION,have_been,Lexicon,
324,AROUSAL_REGULATION,headache,Lexicon,0.2151508731911096
325,AROUSAL_REGULATION,hormone,Lexicon,0.21391950692376738
326,AROUSAL_REGULATION,hour,Lexicon,0.31572092295606624
327,AROUSAL_REGULATION,hypersomnia,Lexicon,0.4479101353354664
328,AROUSAL_REGULATION,identify,Lexicon,0.01462096708624927
329,AROUSAL_REGULATION,information,Lexicon,-0.09750434578920153
330,AROUSAL_REGULATION,insomnia,Lexicon,0.5204512984972154
331,AROUSAL_REGULATION,irritability,Lexicon,0.42512348696362134
332,AROUSAL_REGULATION,language,Lexicon,-0.17149466556736326
333,AROUSAL_REGULATION,melatonin,Lexicon,0.5617621699344935
334,AROUSAL_REGULATION,memory,Lexicon,0.10941529279231921
335,AROUSAL_REGULATION,minutes,Lexicon,
336,AROUSAL_REGULATION,motivate,Lexicon,0.07856227568925178
337,AROUSAL_REGULATION,motor,Lexicon,0.08666400671098107
338,AROUSAL_REGULATION,motor_activity,RDoC,0.4112551714626771
339,AROUSAL_REGULATION,neck,Lexicon,0.06659735690460289
340,AROUSAL_REGULATION,night,Lexicon,0.5816547610930067
341,AROUSAL_REGULATION,nightmare,Lexicon,0.3316927748831121
342,AROUSAL_REGULATION,notice,Lexicon,0.06041527034457217
343,AROUSAL_REGULATION,offer,Lexicon,-0.05921911672998581
344,AROUSAL_REGULATION,oral,Lexicon,0.07068384468234168
345,AROUSAL_REGULATION,osa,Lexicon,0.39258448915974975
346,AROUSAL_REGULATION,posttraumatic,Lexicon,0.30712944930664854
347,AROUSAL_REGULATION,posttraumatic_stress,Lexicon,
348,AROUSAL_REGULATION,psychomotor,Lexicon,0.3241544499411657
349,AROUSAL_REGULATION,psychomotor_agitation,Lexicon,0.30346845756303764
350,AROUSAL_REGULATION,quantity,Lexicon,-0.012695773823293122
351,AROUSAL_REGULATION,range,Lexicon,0.09571922759258111
352,AROUSAL_REGULATION,reactivity,Lexicon,0.24911791642849512
353,AROUSAL_REGULATION,rem_sleep,Lexicon,0.5581401810637654
354,AROUSAL_REGULATION,respiratory,Lexicon,0.3682061284020257
355,AROUSAL_REGULATION,restless,Lexicon,0.20280732397234902
356,AROUSAL_REGULATION,restoration,Lexicon,0.22253294143717295
357,AROUSAL_REGULATION,rhythm,RDoC,0.3173382905112916
358,AROUSAL_REGULATION,sensation,Lexicon,0.2648038776120072
359,AROUSAL_REGULATION,sensitivity,Lexicon,0.12629829351927557
360,AROUSAL_REGULATION,sensory,Lexicon,0.05982549494831957
361,AROUSAL_REGULATION,sensory_deficit,Lexicon,
362,AROUSAL_REGULATION,sexual_abuse,Lexicon,
363,AROUSAL_REGULATION,sleep_latency,Lexicon,0.5349888735693709
364,AROUSAL_REGULATION,sleep_study,Lexicon,
365,AROUSAL_REGULATION,sleepiness,RDoC,0.7157701391610343
366,AROUSAL_REGULATION,someone_else,Lexicon,
367,AROUSAL_REGULATION,spindle,Lexicon,0.3776345233109797
368,AROUSAL_REGULATION,stability,Lexicon,0.31357536171899625
369,AROUSAL_REGULATION,stable,Lexicon,0.15871374488268708
370,AROUSAL_REGULATION,startle,RDoC,0.32483076080177087
371,AROUSAL_REGULATION,stress,Lexicon,0.2789023840716667
372,AROUSAL_REGULATION,stress_disorder,Lexicon,
373,AROUSAL_REGULATION,symptom_include,Lexicon,
374,AROUSAL_REGULATION,these_problem,Lexicon,
375,AROUSAL_REGULATION,theta,Lexicon,0.2563065113921823
376,AROUSAL_REGULATION,timing,Lexicon,0.19649079478582
377,AROUSAL_REGULATION,tingle,Lexicon,-0.041092865645408594
378,AROUSAL_REGULATION,tired,Lexicon,0.20884872540709531
379,AROUSAL_REGULATION,trauma,Lexicon,0.10236438106985013
380,AROUSAL_REGULATION,traumatic,Lexicon,0.06845269407680188
381,AROUSAL_REGULATION,user,Lexicon,-0.016026604787445775
382,AROUSAL_REGULATION,variability,Lexicon,0.22295868711504485
383,AROUSAL_REGULATION,vigilance,Lexicon,0.517239583112514
384,AROUSAL_REGULATION,voluntary,Lexicon,0.1816568269725376
385,AROUSAL_REGULATION,wakefulness,RDoC,0.597542713818251
386,AROUSAL_REGULATION,waking,RDoC,0.6531986036659367
387,AROUSAL_REGULATION,weight_gain,Lexicon,
388,AROUSAL_REGULATION,with_general,Lexicon,
389,AROUSAL_REGULATION,worsen,Lexicon,0.17646212100372627
