CONSTRUCT_INDEX,DOMAIN_INDEX,CONSTRUCT_NAME,DOMAIN_NAME,DOMAIN,CONSTRUCT,DESCRIPTION,MOLECULES,CELLS,CIRCUITS,PHYSIOLOGY,BEHAVIOR,SELF_REPORT,PARADIGMS
11,2,HABIT,POSITIVE_VALENCE,Positive Valence Systems,Reward Learning | Learning | Habit | Reward,"Sequential, repetitive, motor, or cognitive behaviors elicited by external or internal triggers that, once initiated, can go to completion without constant conscious oversight. Habits can be adaptive by virtue of freeing up cognitive resources. Habit formation is a frequent consequence of reward learning, but its expression can become resistant to changes in outcome value. Related behaviors could be pathological expression of a process that under normal circumstances subserves adaptive goals.",Acetylcholine | Co-released neuromodular glutamate | CREB | dopamine and dopamine-related molecules | FosB,Dopaminergic neurons | medium spiny neurons | Substantia Nigra,dorsal striatum | Medial prefrontal | SN/VTA | Ventral striatum,,Compulsive behaviors | Repetitive behaviors | Stereotypic behaviors,Aberrant behaviors checklist | Measures of repetitive behaviors,Devaluation task | Habit Learning Task | Habit Task
12,2,REWARD_PROBABILITY,POSITIVE_VALENCE,Positive Valence Systems,Reward Valuation | Valuation | Reward (Probability) | Probability | Reward,"Processes by which the probability and benefits of a prospective outcome are computed by reference to external information, social context (e.g., group input), and/or prior experience. This computation is influenced by preexisting biases, learning, memory, stimulus characteristics, and deprivation states. Reward valuation may involve the assignment of incentive salience to stimuli. | Process by which the value of a reinforcer is computed as a function of its magnitude, valence and predictability.",,,,,,,Probability Choice Task | Willingness to Pay Task
13,2,DELAY,POSITIVE_VALENCE,Positive Valence Systems,Reward Valuation | Valuation | Delay | Reward | Delayed Reward,"Processes by which the probability and benefits of a prospective outcome are computed by reference to external information, social context (e.g., group input), and/or prior experience. This computation is influenced by preexisting biases, learning, memory, stimulus characteristics, and deprivation states. Reward valuation may involve the assignment of incentive salience to stimuli. | Processes by which the value of a reinforcer is computed as a function of its magnitude and the time interval prior to its expected delivery.",,,,,,,Delay discounting
14,2,EFFORT,POSITIVE_VALENCE,Positive Valence Systems,Reward Valuation | Valuation | Effort | Reward,"Processes by which the probability and benefits of a prospective outcome are computed by reference to external information, social context (e.g., group input), and/or prior experience. This computation is influenced by preexisting biases, learning, memory, stimulus characteristics, and deprivation states. Reward valuation may involve the assignment of incentive salience to stimuli. | Processes by which the value of a reinforcer is computed as a function of its magnitude and the perceived costs of the physical or cognitive effort required to obtain it.",Adenosine | Dopamine | GABA,,Basolateral amygdala | dorsal ACC | Ventral pallidum | Ventral striatum (nACC) | VTA,,,Drive subscale of the Behavioral Activation Scale | behavioral activation scale | behavioral activation scale drive,EEfRT task | EEfRT
15,3,ATTENTION,COGNITIVE_SYSTEMS,Cognitive Systems,Attention,"Attention refers to a range of processes that regulate access to capacity-limited systems, such as awareness, higher perceptual processes, and motor action. The concepts of capacity limitation and competition are inherent to the concepts of selective and divided attention.",GABA | Glutamate | Acetylcholine | Dopamine | Glutamate | Histamine | Serotonin,Parvalbumin-positive interneurons,Balance between task positive network (TPN) vs DMN | local circuit interactions | pulvinar | TRN | Amygdala | ascending/descending information pathways | basal forebrain limbic system | Dorsal attention network | Ventral attention network,Sensory areas from peripheral to central | N1 | N2 | Neural oscillations | P1 | P300 | processing negativity | N2pc | negativity (SN) | Neural oscillations | P300 | Selection modulations of sensory ERP components | slow waves | Heart rate deceleration | Pupil dilation,ANT task distractibility | Attentional lapses | sustained attention | Distractibility | Object attention | feature attention | Psychophysics | Spatial attention,,attentional blink | psychological refractory period paradigm | blocked channel-selection tasks | dichotic listening | distraction paradigms | capture paradigms | Dual Task Paradigms | inter-modal selective attention | spatial cuing paradigm | non-spatial cuing paradigm | time-series of response times to extract variability domain analyses | frequency domain analyses | visual search
16,3,VISUAL_PERCEPTION,COGNITIVE_SYSTEMS,Cognitive Systems,Perception | Visual Perception | Visual,"Perception refers to the process(es) that perform computations on sensory data to construct and transform representations of the external environment, acquire information from, and make predictions about, the external world, and guide action.",ACH | Catecholamines | GABA | Glutamate | NMDA | Peptides | Serotonin,Magno (non-linear gain control) | Parvalbumin-positive interneurons | Parvo | Pyramidal cells,Koniocellular | Magnocellular | Parvocellular | Cortico-cortical connections into supra- and infra-granular layers | Dorsal/ventral streams | Superior colliculus | Suprachiasmatic nucleus | Lateral interactions | Top-down interactions,"Adaptation/ habituation | BOLD activation of cortical regions | ERP components | Ncl | Oscillations (scalp EEG, LFP, and single/multi-unit) | ssVEP | tVEP",Discrimination | identification | localization | Perceptual learning | Perceptual priming | Reading | Stimulus detection | Visual acuity,Perceptual anomalies of schizophrenia and depression | perceptual anomalies,Local computations | Retinotopic representations | Nonlocal properties of images | Transformations beyond retinotopic representations | Representations of external objects | Backward masking | Biological motion processing | Bistability | Coherent motion | Contour integration | contour interpolation | Contrast sensitivity | Cross modality paradigms | Emotion expression identification | Face identification | Figure ground | Lateral facilitation | Multistability | Object perception | Object recognition | perceptual closure | perceptual organization | Parallel search | serial search | Reading | Vernier discrimination | Visual illusion susceptibility | visual illusion | Action-Perception loops | Re-entrant processing
17,3,AUDITORY_PERCEPTION,COGNITIVE_SYSTEMS,Cognitive Systems,Perception | Auditory Perception | Auditory,"Perception refers to the process(es) that perform computations on sensory data to construct and transform representations of the external environment, acquire information from, and make predictions about, the external world, and guide action.",Acetylcholine | GABA | Glutamate | NMDA | Serotonin,Cochlear hair cells | Cortical and limbic inhibitory interneurons | Ribbon synapses,A1 | Anterior insula | Brainstem | Cochlea | Inferior colliculus | MGN | STG | Corticofugal | Dorsal/ventral streams,Adaptation/ habituation | Auditory steady-state response (ASSR) | fMRI | Intracortical EEG | Metabolic changes | Mismatch negativity (MMN) | N1 | Neural oscillations | P3a | P50 | startle and PPI,Perceptual identification | Perceptual learning | Perceptual priming | Spatial localization | Stimulus detection,Auditory hallucinations | Hyperacusis,Action-Perception loops | Auditory masking | auditory scene perception | auditory streaming | Bistability | Categorization | Cross-modal interactions | Detection of speech in noise | Detection of speech | speech detection | noise | Deviance detection | Gating | inhibitory control | Manipulation of ISI | manipulation of intensity | multisensory McGurk | McGurk | novelty detection | oddball detection | Object perception | Regularity detection | change detection | same-different tasks | self-monitoring | tone detection | JND tasks | Tone matching
18,3,OTHER_PERCEPTION,COGNITIVE_SYSTEMS,Cognitive Systems,Perception | Olfactory Perception | Olfactory | Somatosensory Perception | Somatosensory | Multimodal Perception | Multimodal,"Perception refers to the process(es) that perform computations on sensory data to construct and transform representations of the external environment, acquire information from, and make predictions about, the external world, and guide action.",,,,,,,Manipulation of ISI | manipulation of intensity | smell identification
19,3,DECLARATIVE_MEMORY,COGNITIVE_SYSTEMS,Cognitive Systems,Declarative Memory | Declarative | Memory,"Declarative memory is the acquisition or encoding, storage and consolidation, and retrieval of representations of facts and events. Declarative memory provides the critical substrate for relational representations, i.e., for spatial, temporal, and other contextual relations among items, contributing to representations of events (episodic memory) and the integration and organization of factual knowledge (semantic memory). These representations facilitate the inferential and flexible extraction of new information from these relationships.",Cholinergic | Glutamatergic | Noradrenergic | Opioid,Glia | Granule cells | Inhibitory and excitatory interneurons | Pyramidal cells,Extrinsic hippocampal circuitry | Intrinsic hippocampal circuitry | PFC and PPC interactions with multiple association cortices,"AMPA-related synaptic plasticity | conjunction codes | frontal/temporal coordinated oscillations | LTP/LTD | NMDA-related synaptic plasticity | place cell activity | subsequent memory effect (fMRI, ERP) | up/down states",Discrimination | Familiarity | Learning | Recall | Recognition,Cognitive Assessment Interview,acquired equivalence | delayed recall | list learning | story learning | Paired associate learning | transitive inference
20,3,LANGUAGE,COGNITIVE_SYSTEMS,Cognitive Systems,Language,"Language is a system of shared symbolic representations of the world, the self and abstract concepts that supports thought and communication.",,,"Inferior frontal cortex | Inferior parietal cortex | Inferior temporal cortex | Lateral superior and middle temporal cortices | Overlap with memory, motor, sensory, and emotional circuits",anterior negativities | N400 | P600/late positivities,Coherent discourse | Coherent sentences | Production of words | comprehension of words,Cognitive Assessment Interview,Language Production | Linguistic corpus-based analyses of language output | linguistic corpus | language output | Naming | Language Comprehension | Ability to answer questions about the content of sentences and discourse | content of sentences | content of discourse | Ability to distinguish between coherent and incoherent sentences and discourse | coherent sentences | coherent discourse | Detection and classification of semantic relationships between words | semantic relationships | Listening and reading times to critical words and regions in linguistic input | listening times | reading times | linguistic input | Patterns of eye movements (in eye tracking paradigms) or motor movements (in mouse tracking paradigms) to critical words and regions in linguistic input | patterns of eye movement | eye tracking paradigms | critical words | Patterns of eye movements to non-verbal visual stimuli during spoken language comprehension (the visual world paradigm) | spoken language comprehension | visual world paradigm | Experimental Manipulations | Manipulations of different types of coherence and cohesion between clauses in discourse | coherence between clauses | cohesion between clauses | clauses in discourse | Manipulations of different types of relationships between individual words in priming paradigms | word priming | Manipulations of predictability and acceptability at different levels of representation in a linguistic input | linguistic representation predictability | linguistic representation acceptability | Manipulations of relationships between language and non-verbal behaviors | language behaviors
21,3,GOAL_SELECTION,COGNITIVE_SYSTEMS,Cognitive Systems,Cognitive Control | Cognitive | Control | Goal Selection | Goal,"A system that modulates the operation of other cognitive and emotional systems, in the service of goal-directed behavior, when prepotent modes of responding are not adequate to meet the demands of the current context. Additionally, control processes are engaged in the case of novel contexts, where appropriate responses need to be selected from among competing alternatives.",,,Frontopolar/Anterior LPFC (BA10) | Inhibition of DMN,,,BRIEF | Gioa,Badre tasks | Koechlin paradigm | Task switching
22,3,UPDATING_REPRESENTATION_MAINTENANCE,COGNITIVE_SYSTEMS,Cognitive Systems,Cognitive Control | Cognitive | Control | Updating | Representation | Maintenance,"A system that modulates the operation of other cognitive and emotional systems, in the service of goal-directed behavior, when prepotent modes of responding are not adequate to meet the demands of the current context. Additionally, control processes are engaged in the case of novel contexts, where appropriate responses need to be selected from among competing alternatives.",ACH | Dopamine | GABA | Glutamate | Norepinephrine,PV | Pyramidal cells,DLPFC | PPC | Thalamocortical,Gamma synchrony | Pupilometry,Distractibility | Off-task behaviors,BRIEF | Gioa | Cognitive Failures Questionnaire | SANS | SAPS | PANSS,AX paradigms | Cued stimulus-response reversal tasks | Task switching | Tower tasks
23,3,RESPONSE_SELECTION,COGNITIVE_SYSTEMS,Cognitive Systems,Cognitive Control | Cognitive | Control | Response Selection | Response,"A system that modulates the operation of other cognitive and emotional systems, in the service of goal-directed behavior, when prepotent modes of responding are not adequate to meet the demands of the current context. Additionally, control processes are engaged in the case of novel contexts, where appropriate responses need to be selected from among competing alternatives.",ACH | Dopamine | GABA | Glutamate | Norepinephrine,PV | Pyramidal cells,DLPFC | PPC | VLPFC,Gamma | Theta,Impulsive behaviors,BRIEF | Gioa | SANS | SAPS | PANSS,Flanker | Simon | Stroop
24,3,INHIBITION,COGNITIVE_SYSTEMS,Cognitive Systems,Cognitive Control | Cognitive | Control | Inhibition | Suppression,"A system that modulates the operation of other cognitive and emotional systems, in the service of goal-directed behavior, when prepotent modes of responding are not adequate to meet the demands of the current context. Additionally, control processes are engaged in the case of novel contexts, where appropriate responses need to be selected from among competing alternatives.",Acetylcholine | Dopamine | GABA | Glutamate | Norepinephrine,Pyramidal cells,BA6/8 (FEF) | PPC | Pre-SMA | Ventrofronto-striatal,Alpha | Pupilometry | Short interval cortical inhibition (TMS),Distractibility | Impulsive behaviors | Impulsive | Off-task behaviors | Off-task,ADHD Rating Scale | Dupaul ADHD Rating Scale | ATQ Effortful Control | ATQ | CBQ Effortful Control | CBQ | Effortful Control | BRIEF | Gioa | Conners impulsivity scale | Impulsivity scale | Conners impulsivity,Antisaccade | Conflicting motor response task | contralateral motor response task | Countermanding | Go/Nogo | Go-Nogo | Motor persistence paradigms | NEPSY statue task | Stimulus-Response Incompatibility | Stimulus Response Incompatibility | Stop-Signal Reaction Time | Stop Signal Reaction Time
25,3,PERFORMANCE_MONITORING,COGNITIVE_SYSTEMS,Cognitive Systems,Cognitive Control | Cognitive | Control | Performance Monitoring | Performance | Monitoring,"A system that modulates the operation of other cognitive and emotional systems, in the service of goal-directed behavior, when prepotent modes of responding are not adequate to meet the demands of the current context. Additionally, control processes are engaged in the case of novel contexts, where appropriate responses need to be selected from among competing alternatives.",5HT | Dopamine,,ACC / pre-SMA Insula,ERN | N2 | N450,Post-error adjustments in performance | post-error | post-conflict adjustments in performance | post-conflict | adjustments in performance,YBOCS total score,Flanker | Simon | Stroop
26,3,ACTIVE_MAINTENANCE,COGNITIVE_SYSTEMS,Cognitive Systems,Working Memory | Active Maintenance | Maintenance | Working Memory Maintenance,"Working Memory is the active maintenance of goal/task relevant information (items, goals, strategies, etc.). These representations: may be characterized by the absence of external support for the internally maintained representations.",D1 | Dopamine | GABA | Glutamate | NMDA,Distinct types of inhibitory neurons | Pyramidal cells,Inferior Parietal | PFC-parietal-cingulate-dorsal thalamus-dorsal striatum | VLPFC,Delta waves | Gamma waves | Theta waves,,,AX-CPT | AX CPT | DPX | Change detection tasks | Complex Span tasks | delayed match to non sample | delayed match to sample | keep track task | Letter memory | running memory | Letter Number Sequencing | N-back | Self-Ordered Pointing | sequence encoding | sequence reproduction | Simple Span Tasks | Sternberg Item Recognition
27,3,FLEXIBLE_UPDATING,COGNITIVE_SYSTEMS,Cognitive Systems,Working Memory | Flexible Updating | Flexible | Updating | Flexible Working Memory | Working Memory Updating,"Working Memory is the flexible updating of goal/task relevant information (items, goals, strategies, etc.). These representations: may involve flexible binding of representations.",D2 | Dopamine | GABA | Glutamate,Medium Spiny Neurons (basal ganglia),DLPFC | dorsal striatum | MD | PFC-parietal-cingulate-dorsal thalamus-dorsal striatum | VA thalamus,Delta waves | Gamma waves | Theta waves,,,AX-CPT | AX CPT | DPX | Complex Span tasks | keep track task | Letter memory | running memory | Letter Number Sequencing | N-back | Self-Ordered Pointing | Self Ordered Pointing | Sternberg Item Recognition
28,3,LIMITED_CAPACITY,COGNITIVE_SYSTEMS,Cognitive Systems,Working Memory | Limited Capacity | Capacity | Working Memory Capacity,Working Memory is in a form that has limited capacity. These representations: are frequently temporary.,D1 | D2 | Dopamine | GABA | Glutamate,,DLPFC | Dorsal Parietal | Inferior Parietal | MD | PFC-parietal-cingulate-dorsal thalamus-dorsal striatum | VA thalamus | VLPFC,Delta waves | Gamma waves | Theta waves,,,AX-CPT | AX CPT | DPX | Change detection tasks | Complex Span tasks | delayed match to non sample | delayed match to nonsample | delayed match to sample | keep track task | Letter memory | running memory | Letter Number Sequencing | N-back | Self-Ordered Pointing | Self Ordered Pointing | sequence encoding | sequence reproduction | Sequence | Simple Span Tasks | Sternberg Item Recognition
29,3,INTERFERENCE_CONTROL,COGNITIVE_SYSTEMS,Cognitive Systems,Working Memory | Interference Control | Interference | Working Memory Control | Control,Working Memory resists interference. These representations: may be due to ongoing interference.,D1 | D2 | Dopamine | GABA | Glutamate,Calbindin | Calretinin | Distinct types of inhibitory neurons | Parvalbumin,DLPFC | PFC-parietal-cingulate-dorsal thalamus-dorsal striatum,Delta waves | Gamma waves | Theta waves,,,Complex Span tasks | delayed match to non sample | delayed match to nonsample | delayed match to sample | keep track task | Letter memory | running memory | Letter Number Sequencing | N-back | Self-Ordered Pointing | Simple Span Tasks | Sternberg Item Recognition
30,4,AFFILIATION_ATTACHMENT,SOCIAL_PROCESSES,Social Processes,Affiliation and Attachment | Affiliation | Attachment,"Affiliation is engagement in positive social interactions with other individuals. Attachment is selective affiliation as a consequence of the development of a social bond. Affiliation and Attachment are moderated by social information processing (processing of social cues) and social motivation. Affiliation is a behavioral consequence of social motivation and can manifest itself in social approach behaviors. Affiliation and Attachment require detection of and attention to social cues, as well as social learning and memory associated with the formation of relationships. Affiliation and Attachment include both the positive physiological consequences of social interactions and the behavioral and physiological consequences of disruptions to social relationships. Clinical manifestations of disruptions in Affiliation and Attachment include social withdrawal, social indifference and anhedonia, and over-attachment.",3CRF | CRFR2 | D1 | Dopamine | KOR | Mu opioid receptor | Oxytocin | oxytocin receptor | Vasopressin | vasopressin 1a receptor,Magnocellular OT,Amygdala | BNST | FF gyrus | NAcc | OFC | PVN | VMPFC | VTA- NAcc- VP-amygdala,"activation of sympathetic activity | HPA axis activation | HPA down-regulation | Immune markers | immune responses (""sickness"") | Sex steroid changes | Vagal tone | vagal withdrawal",Attachment Formation | Maintaining proximity | Preference for individual | Attachment Maintenance | Distress upon separation,Adult Attachment Interview | Attachment Questionnaire for Children Scale | Attachment Style interview | Bartholomew and Shaver | Bereavement scales | Experience in Close Relationships Scale | Inventory of Parent and Peer Attachment Scale | Multidimensional Scale of Perceived Social Support | Parental Bonding Instrument | QSORT Parent Attachment interview | Social Anhedonia scale | Social subscales of depression,Cyberball | One-armed Bandit Task
31,4,FACIAL_COMM_RECEPTION,SOCIAL_PROCESSES,Social Processes,Social Communication | Reception of Facial Communication | Facial,"A dynamic process that includes both receptive and productive aspects used for exchange of socially relevant information. Social communication is essential for the integration and maintenance of the individual in the social environment. This Construct is reciprocal and interactive, and social communication abilities may appear very early in life. Social communication is distinguishable from other cognitive systems (e.g., perception, cognitive control, memory, attention) in that it particularly involves interactions with conspecifics. The underlying neural substrates of social communication evolved to support both automatic/reflexive and volitional control, including the motivation and ability to engage in social communication. Receptive aspects may be implicit or explicit; examples include affect recognition, facial recognition and characterization. Although facial communication was set aside as a separate sub-construct for the purposes of identifying matrix elements, social communication typically utilizes information from several modalities, including facial, vocal, gestural, postural, and olfactory processing. | The capacity to convey one's emotional state non-verbally via facial expression.",Dopamine | FMRP | GABA | Oxytocin | Serotonin | Testosterone | Vasopressin,Face selective neurons | Mirror neurons,amygdala-brainstem | IFG-INS-amygdala/VS | OFC-ACC-amygdala-striatum | Resting state networks | V1-FFA-STS-amygdala | V1-FFA-STS-VS,ECoG frontal brain asymmetry | Facial EMG | HR/BP/respiration | Local cerebral blood flow changes | N170 | N250 | Network dynamics | Pupil dilation | SCR Startle reflex,Behavioral observation | behavioral coding systems | Eye gaze detection | eye gaze | Identification of emotion | emotion identification | Implicit mimicry | Scanning patterns,Arousal ratings | Face dimensional rating scales,Gaze Cuing | Penn Emotion Recognition (ER-40)
32,4,FACIAL_COMM_PRODUCTION,SOCIAL_PROCESSES,Social Processes,Social Communication | Production of Facial Communication | Facial,"A dynamic process that includes both receptive and productive aspects used for exchange of socially relevant information. Social communication is essential for the integration and maintenance of the individual in the social environment. This Construct is reciprocal and interactive, and social communication abilities may appear very early in life. Social communication is distinguishable from other cognitive systems (e.g., perception, cognitive control, memory, attention) in that it particularly involves interactions with conspecifics. The underlying neural substrates of social communication evolved to support both automatic/reflexive and volitional control, including the motivation and ability to engage in social communication.Productive aspects include eye contact, expressive reciprocation, and gaze following. Although facial communication was set aside as a separate sub-construct for the purposes of identifying matrix elements, social communication typically utilizes information from several modalities, including facial, vocal, gestural, postural, and olfactory processing. | The capacity to convey one's emotional state non-verbally via facial expression.",AP | Contactin,,PPC-SC-SNc-SEF-FEF-CB | Regions including PAG AC,Facial EMG | HR variability | NIRS | Photoplethysmography (skin color measure of capillary dilation; temperature) | Pupil dilation | SC | Tear production,Behavioral observation systems | Behavioral coding systems | Eye gaze aversion | Eye gaze | Facial affect production | Head turning | Imitation of facial gestures | imitation | facial gestures | Joint attention | Reciprocal emotional expression | emotional expression | Reciprocal eye contact | eye contact,Berkeley Expressivity Questionnaire,
