ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
3,5,REACTION_TIME,strategy,0.08676959271350759,0.6112495982230222
3,5,REACTION_TIME,context,0.08657784276413517,0.6112495982230222
3,5,REACTION_TIME,decision,0.08426356862888175,0.6112495982230222
3,5,REACTION_TIME,goal,0.08334957227341727,0.6112495982230222
3,5,REACTION_TIME,response_selection,0.08292802510295312,0.6112495982230222
3,5,REACTION_TIME,interoception,0.07779908089697865,0.6112495982230222
3,5,REACTION_TIME,retrieval,0.07670823241156706,0.6112495982230222
4,4,MANIPULATION,execution,0.1784529929361117,0.6255365602225843
4,4,MANIPULATION,working_memory,0.14684027561550533,0.6255365602225843
4,4,MANIPULATION,hand,0.14461879820927534,0.6255365602225843
4,4,MANIPULATION,manipulation,0.1411744964653377,0.6255365602225843
4,4,MANIPULATION,attention,0.12890838518585615,0.6255365602225843
4,4,MANIPULATION,spatial_attention,0.12794636122454411,0.6255365602225843
4,4,MANIPULATION,movement,0.1274009601235051,0.6255365602225843
4,4,MANIPULATION,rehearsal,0.12714878770620122,0.6255365602225843
4,4,MANIPULATION,action,0.12521889002250713,0.6255365602225843
4,4,MANIPULATION,reaction_time,0.12268268303974275,0.6255365602225843
4,4,MANIPULATION,grasping,0.11824536082526706,0.6255365602225843
4,4,MANIPULATION,covert,0.11818823721945595,0.6255365602225843
4,4,MANIPULATION,strategy,0.11712461088245472,0.6255365602225843
4,4,MANIPULATION,monitoring,0.11598380583405556,0.6255365602225843
4,4,MANIPULATION,representation,0.11558138934303265,0.6255365602225843
4,4,MANIPULATION,response_selection,0.11357038123919655,0.6255365602225843
4,4,MANIPULATION,grasp,0.11215450600480656,0.6255365602225843
5,2,VISION,face_perception,0.1439006363324021,0.6352041645195485
5,2,VISION,recognition,0.14293156548503638,0.6352041645195485
5,2,VISION,familiarity,0.13629996746306364,0.6352041645195485
5,2,VISION,retrieval,0.13137920057055993,0.6352041645195485
5,2,VISION,vision,0.1304831821609296,0.6352041645195485
5,2,VISION,object_recognition,0.1274588641103447,0.6352041645195485
5,2,VISION,visual_perception,0.1172340299356008,0.6352041645195485
6,1,HEARING,speech,0.24905998012189906,0.6564888143815277
6,1,HEARING,hearing,0.2389018541545659,0.6564888143815277
6,1,HEARING,listening,0.2335022121611184,0.6564888143815277
6,1,HEARING,speech_perception,0.22277654844528127,0.6564888143815277
6,1,HEARING,speech_processing,0.2203378381459748,0.6564888143815277
