CLUSTER,TOKEN,R,SIMILARITY
3,meaning,0.45667589620979365,0.7257987424639584
4,emotion,0.5829994659047848,0.86697384654058
4,reward,0.4872931361080267,0.6319708886679292
4,personality,0.46353091617447517,0.6751073083739647
4,fear,0.4635221946148752,0.7443825592516424
4,negative_emotion,0.45911416721615866,0.7596802958401777
4,arousal,0.45866777684518,0.7496588733340045
4,valence,0.45296979980652763,0.7430312741783788
4,anxiety,0.4442490475929316,0.7590351225306856
4,emotion_regulation,0.43898647079375047,0.719121871750197
4,mood,0.4129424899801236,0.7183337231030138
4,facial_expression,0.41043272657599905,0.6667954969345585
4,reward_processing,0.40716179038479017,0.591624295251514
4,anger,0.3977069985006345,0.7418732609556131
4,disgust,0.3744530259405674,0.7099552283097235
4,anticipation,0.3703559180152778,0.6262128292674568
4,empathy,0.37019769972737293,0.6727632318121333
4,sadness,0.36658944191943976,0.6769772222799355
4,social_cognition,0.36146496965886926,0.5479734541295284
4,personality_trait,0.3499436464628172,0.6163130597464199
4,decision_making,0.3422729755961168,0.5020691296868309
4,salience,0.338012862160054,0.587538425202775
4,happiness,0.33113736042375347,0.6919127373861172
4,neuroticism,0.32363642518256996,0.6131663138386106
4,addiction,0.3166366134289279,0.4293128480755608
4,stress,0.3161242109809248,0.6254787440146468
5,context,0.37313026507854075,0.8165063435464117
5,cognition,0.36196678708432867,0.5818406656640153
5,knowledge,0.3359901097363208,0.8362532359806892
5,goal,0.3341693685974766,0.7352290174610431
5,judgment,0.33362091604094785,0.6972989364973516
5,manipulation,0.3261921141896149,0.6683909210932281
5,decision,0.3155810033958981,0.7014345767723615
5,inference,0.31312208986429446,0.6207619865891968
5,focus,0.2936907285065734,0.7228383171130277
5,concept,0.2872457926979811,0.7410621972444562
5,insight,0.28519386824120285,0.6175536193358941
5,search,0.28428591189559566,0.6143040483554332
5,thought,0.2810399858731122,0.7105931879897786
5,capture,0.26182052838213843,0.5968870309496328
5,representation,0.25866288432840717,0.7433749668404763
5,meaning,0.2545476074686355,0.7693227307700908
5,generate,0.25368262597724645,0.6727555981921849
5,estimation,0.23900439564804116,0.5052769865213204
5,retrieval,0.2386267300306089,0.7296732914785129
5,button_press,0.23486397593425765,0.4317894249825568
5,language,0.23431638411362862,0.6578922624090131
5,draw,0.2288767762031291,0.6159296895263269
5,semantics,0.22847113775271138,0.6178915045978409
5,semantic_processing,0.2280901361063163,0.6551321623418817
5,skill,0.2271952747443243,0.5805370903128213
6,movement,0.44608991653223323,0.7696674753804151
6,hand,0.43607781602709783,0.7872624971599614
6,eye,0.43081068080177154,0.7133350468765024
6,representation,0.4171542677153463,0.7030871925607627
6,eye_movement,0.413473984913476,0.6987253152679531
6,vision,0.41007416812415576,0.653638536626312
6,grasping,0.4025310637725511,0.6977355086384943
6,execution,0.39710854220355096,0.6963999029967655
6,spatial_attention,0.3878308839897114,0.6396413962284223
6,perception,0.38089376427629873,0.7049440885301258
6,saccade,0.37187276386986445,0.6654184886785987
6,spatial,0.3670485205873029,0.6841830784259317
6,arm,0.35549147310135576,0.638817981118705
6,action,0.3451664936051031,0.6761669485524717
6,grasp,0.3414985778638873,0.5996901703401666
6,visual_angle,0.33861137009987374,0.34036580738470223
6,visual_perception,0.3382844619225998,0.6559159475198779
6,object_recognition,0.32221259088634624,0.6062571825032557
6,move,0.31496065384609184,0.6248425442067831
6,shape,0.3097940643353842,0.7265966415583284
6,visual_attention,0.3055869440588719,0.5884240024586056
6,motion_processing,0.3027019809893785,0.5346457680218399
6,multisensory,0.30017509364071204,0.5303079378929659
6,visual_motion,0.2979643621342223,0.6232442557376017
6,discrimination,0.2924182963447658,0.6335170112073132
