DOMAIN,CLUSTER,STRUCTURE,TITLE
VISION,6,left_inferior_temporal_gyrus_temporooccipital_part,Vision
VISION,6,left_lateral_occipital_cortex_inferior_division,Vision
VISION,6,left_middle_temporal_gyrus_temporooccipital_part,Vision
VISION,6,left_occipital_fusiform_gyrus,Vision
VISION,6,left_occipital_pole,Vision
VISION,6,left_temporal_fusiform_cortex_posterior_division,Vision
VISION,6,left_temporal_occipital_fusiform_cortex,Vision
VISION,6,right_inferior_temporal_gyrus_temporooccipital_part,Vision
VISION,6,right_lateral_occipital_cortex_inferior_division,Vision
VISION,6,right_middle_temporal_gyrus_temporooccipital_part,Vision
VISION,6,right_occipital_fusiform_gyrus,Vision
VISION,6,right_occipital_pole,Vision
VISION,6,right_temporal_occipital_fusiform_cortex,Vision
EXECUTION,7,left_cerebellar_crus,Execution
EXECUTION,7,left_cerebellar_lobules,Execution
EXECUTION,7,left_cerebellar_vermis,Execution
EXECUTION,7,right_cerebellar_crus,Execution
EXECUTION,7,right_cerebellar_lobules,Execution
EXECUTION,7,right_cerebellar_vermis,Execution
MANIPULATION,8,left_frontal_operculum_cortex,Manipulation
MANIPULATION,8,left_frontal_orbital_cortex,Manipulation
MANIPULATION,8,left_frontal_pole,Manipulation
MANIPULATION,8,left_inferior_frontal_gyrus_pars_opercularis,Manipulation
MANIPULATION,8,left_inferior_frontal_gyrus_pars_triangularis,Manipulation
MANIPULATION,8,left_middle_frontal_gyrus,Manipulation
MANIPULATION,8,left_precentral_gyrus,Manipulation
MANIPULATION,8,left_superior_frontal_gyrus,Manipulation
MANIPULATION,8,right_inferior_frontal_gyrus_pars_opercularis,Manipulation
MANIPULATION,8,right_inferior_frontal_gyrus_pars_triangularis,Manipulation
REWARD,9,left_accumbens,Reward
REWARD,9,right_accumbens,Reward
REWARD,9,right_subcallosal_cortex,Reward
ANTICIPATION,10,left_brainstem,Anticipation
ANTICIPATION,10,left_caudate,Anticipation
ANTICIPATION,10,left_pallidum,Anticipation
ANTICIPATION,10,left_putamen,Anticipation
ANTICIPATION,10,left_subcallosal_cortex,Anticipation
ANTICIPATION,10,right_caudate,Anticipation
ANTICIPATION,10,right_pallidum,Anticipation
ANTICIPATION,10,right_putamen,Anticipation
REPRESENTATION,11,left_angular_gyrus,Representation
REPRESENTATION,11,left_lateral_occipital_cortex_superior_division,Representation
REPRESENTATION,11,left_postcentral_gyrus,Representation
REPRESENTATION,11,left_superior_parietal_lobule,Representation
REPRESENTATION,11,left_supplementary_motor_cortex,Representation
REPRESENTATION,11,left_supramarginal_gyrus_anterior_division,Representation
REPRESENTATION,11,left_supramarginal_gyrus_posterior_division,Representation
REPRESENTATION,11,right_angular_gyrus,Representation
REPRESENTATION,11,right_lateral_occipital_cortex_superior_division,Representation
REPRESENTATION,11,right_middle_frontal_gyrus,Representation
REPRESENTATION,11,right_postcentral_gyrus,Representation
REPRESENTATION,11,right_precentral_gyrus,Representation
REPRESENTATION,11,right_superior_parietal_lobule,Representation
REPRESENTATION,11,right_supplementary_motor_cortex,Representation
REPRESENTATION,11,right_supramarginal_gyrus_anterior_division,Representation
REPRESENTATION,11,right_supramarginal_gyrus_posterior_division,Representation
EMOTION,12,left_amygdala,Emotion
EMOTION,12,left_hippocampus,Emotion
EMOTION,12,left_parahippocampal_gyrus_anterior_division,Emotion
EMOTION,12,right_amygdala,Emotion
EMOTION,12,right_hippocampus,Emotion
EMOTION,12,right_parahippocampal_gyrus_anterior_division,Emotion
